bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
3059270024,150-74th Street,Multifamily Housing,82,57036,1,105.2," 6,002,418 ",3148192,Multifamily Housing,," 166,806 "," 4,833,717 ",,,," 569,141.73 "," 48,337.17 "," 617,478.90 ", 10.83 
1012590054,30 W 44th Street,Hotel,47,59000,1,287.6,16968217.1,1034215,Hotel,," 4,929,745 "," 1,501,300 ",,,," 16,820,290.62 "," 15,013.00 "," 16,835,303.62 ", 285.34 
1013050033,155 East,Hotel,42,153761,1,188.2,28933994.4,1036456,Hotel,," 4,605,159 "," 13,997,500 ",,,," 15,712,803.53 "," 139,975.00 "," 15,852,778.53 ", 103.10 
1013760036,540 Park Avenue,Hotel,45,320000,1,239.6,76659289.3,1946606,Hotel,"{'Hotel': 320000.0, 'Parking': 27000.0}"," 16,554,842 "," 22,649,785 ",,,," 56,485,121.93 "," 226,497.85 "," 56,711,619.78 ", 177.22 
1017300045,10 West 135th Street,Multifamily Housing,71,280358,1,130.4,36560013.2,1053892,Multifamily Housing,," 4,222,145 "," 20,595,912 ",, -   ,," 14,405,957.72 "," 205,959.12 "," 14,611,916.83 ", 52.12 
1008730001,201 Park Avenue South,Hotel,55,205473,1,201.5,41395315.3,1080799,Hotel,," 7,086,038 "," 3,212,100 "," 12,353,315 ",,," 24,177,562.34 "," 32,121.00 "," 24,209,683.34 ", 117.82 
1021550068,361 AUDUBON AVENUE,Multifamily Housing,37,36500,1,159.7,5827649.2,1063705,Multifamily Housing,," 1,728,755 ",,,,," 5,898,510.70 ", -   ," 5,898,510.70 ", 161.60 
1009230011,Fierman Hall,Medical Office,59,84862,1,256.7,21780911.1,1020430,Medical Office,," 6,936,596 ",,,,," 23,667,665.21 ", -   ," 23,667,665.21 ", 278.90 
1014117501,145 East 76th Street,Multifamily Housing,21,65953,1,172.7,11389794.8,1043173,Multifamily Housing,," 2,611,264 "," 2,891,651 ",,,," 8,909,632.43 "," 28,916.51 "," 8,938,548.94 ", 135.53 
2022830001,250 WILLIS AVE,Supermarket/Grocery Store,,50710,1,169.4,8592371.6,2092092,Supermarket/Grocery,," 2,736,424 ",,,,," 9,336,679.03 ", -   ," 9,336,679.03 ", 184.12 
